Percentile,Accounting,Advertising/Public Relations,Aerospace Engineering,Agricultural Economics,Agriculture,Animal Science,Anthropology/Archeology,Architecture,Area/Ethnic Studies,Art History,Biological Sciences,Chemical Engineering,Chemistry,Civil Engineering,Communication Technology,Communications,Composition and Rhetoric,Computer Administration Management,Computer and Information Systems,Computer Engineering,Computer Networking and Telecommunications,Computer Programming,Computer Science,Construction,Consumer Science,Cosmetology,Criminal Justice,Criminology,Drama,Economics,Education (All),Electrical Engineering,Engineering (Other),Engineering Technologies,English Language/Literature,Environmental Science,Film/Video/Photography,Finance,Fine Arts,Foreign Languages,Forestry,General Business,Geography,Graphic Design,Health Services (General),High School,History,Hospitality,Human Resources,Human/Community Services,Humanities,Industrial Engineering,Information Science,Interdisciplinary Studies,International Business,Journalism,Liberal Arts,Linguistics/Comparative Language and Literature,Management,Management and Information Science,Marketing,Mass Media,Mathematics and Statistics,Mechanical Engineering,Medical Technologies,Music,Natural Resources Management,Number of Records,Nursing,Philosophy and Religious Studies,Physical Fitness/Parks and Recreation,Physical Sciences (not chem/physics),Physics,Plant Science,Political Science,Psychology,Public Administration,Social Sciences (Other),Social Work,Sociology,Some College but no degree,Studio Arts,Theology,Transportation Science,Treatment Therapy (All)
73,3593669,3127372,3961859,2992784,2551236,2530800,2465761,3089175,2853362,2845350,2914646,4336325,3174166,3609193,2481836,2980959,2475932,2804985,3154316,3949820,2768678,3088743,3805422,3428563,2340968,2188471,2582392,2546451,2266929,3903980,2191540,3807753,3405775,3025155,2781019,2738863,2471251,3982586,2285872,2710229,2459842,3246524,2587782,2589987,2738514,1567662,2731892,2660677,3103312,2219046,2497780,3607507,3557861,2658110,3434958,3037669,2529885,2663282,3123039,3631507,3297770,2642205,3531827,3764070,3134567,2198975,2456720,1,3537854,2481069,2409805,2901043,3369265,2391676,3279935,2614058,3009770,2547786,2263174,2667342,1970090,2111666,1752328,3462689,2952912
74,3623776,3158178,3980306,3016880,2579810,2557389,2484484,3109637,2888209,2878689,2944006,4376309,3200586,3637671,2507516,3018510,2496421,2828979,3181025,3978301,2798556,3113983,3843146,3449462,2366930,2201855,2607199,2565634,2286712,3965893,2212008,3839557,3442490,3045600,2799783,2762135,2495141,4027986,2303148,2738054,2480994,3269882,2613677,2611362,2763945,1582536,2760601,2679129,3144676,2243208,2516599,3641656,3586938,2686250,3480610,3066134,2551663,2695062,3156182,3655877,3328579,2669201,3563351,3800690,3159007,2225136,2478715,1,3558588,2503403,2433911,2921095,3397084,2417064,3318849,2639538,3048398,2569055,2280220,2699489,1986926,2134583,1767914,3490510,2974626
75,3651773,3195557,4008000,3043933,2605541,2584757,2523626,3146028,2913227,2919564,2975389,4426334,3229870,3665530,2524654,3041800,2520439,2853151,3209308,4007365,2818394,3139558,3877253,3477373,2391447,2221327,2626521,2579732,2306677,4000826,2232688,3864233,3475166,3072543,2833708,2784340,2520475,4060625,2329795,2766461,2498126,3306959,2634986,2633863,2789148,1596831,2783494,2698482,3178883,2266891,2557132,3680277,3619131,2712812,3508034,3093519,2573494,2734160,3187459,3679877,3355830,2695934,3598286,3831721,3192429,2244005,2495807,1,3585168,2531516,2453011,2949259,3428121,2437260,3350060,2662802,3076827,2586626,2298195,2724946,2005174,2155866,1784335,3530088,3003304
76,3685373,3233226,4035652,3072492,2632581,2607869,2547876,3182669,2960821,2955480,3001579,4461756,3266178,3693927,2542475,3072301,2554673,2881210,3243942,4044479,2839070,3163811,3908805,3499913,2419741,2242780,2649568,2603344,2333832,4046700,2255896,3895288,3503199,3096036,2857000,2816533,2535539,4096958,2358627,2794039,2520906,3335324,2662223,2669562,2811835,1611226,2799407,2723355,3209581,2286411,2589355,3714402,3654976,2741786,3534804,3123218,2596787,2765898,3212950,3711322,3387789,2726186,3628660,3860742,3218792,2268176,2519330,1,3614955,2560650,2475497,2977688,3473981,2454528,3382437,2685580,3101065,2615639,2321619,2748576,2024380,2182952,1800659,3564289,3029806
77,3729643,3263360,4077351,3107265,2657824,2633838,2575568,3211292,3000152,2983313,3033323,4503803,3301497,3726744,2568214,3106329,2590535,2910260,3276596,4088716,2865846,3190578,3938776,3531339,2451485,2261034,2669909,2641420,2359607,4095462,2272323,3929604,3535846,3126330,2899869,2840781,2558299,4137774,2377927,2832148,2542241,3367593,2688441,2693423,2841603,1626444,2825230,2749027,3231496,2313447,2616865,3748558,3695983,2771004,3556520,3154010,2625964,2797792,3238601,3742651,3439241,2749774,3669727,3894349,3242797,2291769,2546605,1,3647475,2596254,2500903,3000793,3505155,2482476,3422368,2716799,3140397,2637567,2348008,2779458,2044914,2214477,1815352,3604343,3060577
78,3766920,3313883,4126595,3127804,2688359,2663814,2607034,3245878,3028436,3021534,3067914,4549769,3340827,3757720,2597332,3146283,2626055,2940120,3307541,4120042,2903417,3224173,3976977,3565843,2476100,2286450,2691572,2659408,2383192,4147775,2289790,3953017,3576004,3150832,2928778,2874074,2589794,4191589,2403445,2854172,2563389,3398129,2716208,2725555,2866788,1641738,2857415,2785445,3265516,2334563,2654577,3784228,3725993,2798723,3609095,3195176,2657625,2825263,3272367,3772163,3473886,2786776,3710787,3931648,3271405,2324433,2566841,1,3675860,2622054,2526904,3026637,3546966,2502114,3459264,2746161,3165250,2659595,2373135,2804332,2065205,2238682,1830714,3635912,3097067
79,3809655,3347583,4162444,3159506,2711516,2688447,2640096,3281658,3066798,3055384,3095778,4597409,3387565,3784686,2628719,3184932,2659438,2971873,3338016,4155843,2926745,3258701,4006501,3593290,2510406,2315032,2718012,2687542,2406634,4190177,2307272,3985718,3618036,3178299,2972028,2906807,2610980,4234468,2431900,2882027,2584638,3428674,2739206,2754500,2901432,1658797,2889212,2817210,3299732,2364983,2681181,3819797,3751197,2823799,3658400,3232032,2689712,2856794,3313648,3805759,3513835,2817305,3756234,3963168,3292178,2352868,2589286,1,3701906,2652620,2547409,3060824,3590730,2526603,3509086,2769273,3201159,2693239,2397099,2836082,2086568,2262744,1850650,3665092,3129820
80,3854694,3394533,4189897,3196638,2744356,2716348,2686854,3318590,3107466,3088691,3135022,4628001,3416126,3822398,2656412,3220280,2692724,3003644,3362921,4191278,2963796,3284678,4032357,3622172,2535222,2341681,2744916,2712983,2440043,4236907,2330245,4015900,3651755,3209505,3009229,2936394,2642714,4272963,2465895,2920803,2614221,3467976,2765901,2785106,2933048,1675911,2927215,2838951,3332531,2392966,2712693,3863110,3784934,2845528,3709895,3277711,2718297,2892188,3360701,3842243,3549518,2841863,3793755,3999700,3321168,2381101,2612841,1,3729869,2676779,2570335,3102344,3629743,2553179,3550117,2795571,3230877,2719440,2425937,2861039,2106769,2290333,1870893,3704483,3163742
81,3896471,3434227,4221441,3225255,2765519,2740331,2718260,3340261,3141631,3138341,3180698,4677706,3458594,3859970,2687020,3261124,2726486,3038982,3386925,4237262,2996857,3319106,4076833,3652304,2573014,2361619,2778870,2738951,2464315,4280221,2349926,4051352,3680347,3239150,3047704,2972120,2684203,4324040,2488743,2966767,2636547,3499441,2797067,2818493,2966068,1692861,2962635,2865376,3362397,2422919,2748972,3892969,3821076,2872619,3771169,3325498,2739316,2933728,3402368,3869928,3597447,2877844,3835103,4041016,3356382,2402467,2642188,1,3760407,2708985,2594253,3126906,3680139,2579519,3592399,2832631,3261526,2744976,2447569,2897076,2129093,2311249,1886661,3740907,3190958
82,3943194,3481116,4264055,3266041,2796528,2773816,2755961,3372961,3195071,3179975,3222367,4712410,3502584,3906687,2709484,3299417,2745182,3081861,3425109,4285943,3023132,3377800,4117053,3681813,2607376,2383684,2810034,2772678,2499774,4335352,2373832,4099049,3718993,3257370,3093811,3015586,2721009,4363268,2524693,3002344,2656143,3545676,2834735,2854769,3000975,1712585,3003078,2907725,3402957,2446618,2791766,3948162,3854656,2919001,3814267,3379997,2787083,2985579,3432424,3912390,3638312,2920578,3882719,4078802,3387510,2438259,2666032,1,3788083,2743599,2620908,3169958,3722619,2609616,3636351,2869756,3301145,2780608,2468466,2942264,2156905,2339514,1908283,3770673,3238433
83,3979235,3534206,4303873,3301765,2824793,2802823,2786576,3403010,3247613,3221228,3250205,4757887,3537405,3941956,2744744,3347939,2779678,3106403,3456669,4306337,3057578,3412565,4158269,3718829,2639906,2408533,2840528,2810498,2527630,4397516,2411530,4139401,3764905,3310367,3151051,3042770,2754454,4421144,2562068,3044152,2686237,3590484,2869915,2887898,3034662,1732399,3044384,2942630,3443526,2476277,2825257,3983788,3890593,2948502,3866488,3420985,2814762,3039113,3460761,3961695,3676352,2963328,3941880,4117525,3421188,2469553,2694247,1,3837169,2780518,2644673,3206908,3766942,2638941,3680354,2899143,3340871,2809643,2498826,2982417,2185362,2372871,1927668,3812630,3266369
