Percentile,Accounting,Advertising/Public Relations,Aerospace Engineering,Agricultural Economics,Agriculture,Animal Science,Anthropology/Archeology,Architecture,Area/Ethnic Studies,Art History,Biological Sciences,Chemical Engineering,Chemistry,Civil Engineering,Communication Technology,Communications,Composition and Rhetoric,Computer Administration Management,Computer and Information Systems,Computer Engineering,Computer Networking and Telecommunications,Computer Programming,Computer Science,Construction,Consumer Science,Cosmetology,Criminal Justice,Criminology,Drama,Economics,Education (All),Electrical Engineering,Engineering (Other),Engineering Technologies,English Language/Literature,Environmental Science,Film/Video/Photography,Finance,Fine Arts,Foreign Languages,Forestry,General Business,Geography,Graphic Design,Health Services (General),High School,History,Hospitality,Human Resources,Human/Community Services,Humanities,Industrial Engineering,Information Science,Interdisciplinary Studies,International Business,Journalism,Liberal Arts,Linguistics/Comparative Language and Literature,Management,Management and Information Science,Marketing,Mass Media,Mathematics and Statistics,Mechanical Engineering,Medical Technologies,Music,Natural Resources Management,Number of Records,Nursing,Philosophy and Religious Studies,Physical Fitness/Parks and Recreation,Physical Sciences (not chem/physics),Physics,Plant Science,Political Science,Psychology,Public Administration,Social Sciences (Other),Social Work,Sociology,Some College but no degree,Studio Arts,Theology,Transportation Science,Treatment Therapy (All)
1,1538733,1324145,2027993,1366684,1182853,1140082,1035879,1405172,1085852,1065321,1269666,2028795,1302574,1814954,1067421,1276427,1012676,1298133,1532033,1907162,1271568,1381160,1833017,1827862,939754.3,1016962,1213838,1245946,926512.5,1576771,964649.3,1868578,1670597,1541011,1099866,1169737,1000167,1823850,932307.6,1093201,1214097,1440355,1149997,1088362,1166876,692175.3,1123217,1200997,1406587,1000689,969062.4,1685355,1716494,1122251,1430948,1252709,1104679,1005877,1415788,1755863,1472164,1089096,1458095,1870065,1580904,859248.1,1192284,1,1848973,1017473,1084653,1300709,1421037,1104142,1385411,1113859,1366273,1137622,1028054,1142399,896292.3,830830.3,776534,1584916,1321981
2,1673857,1452861,2156719,1486828,1301391,1210574,1108218,1502214,1191504,1178875,1390405,2147351,1436241,1945067,1140198,1394609,1094654,1395627,1623750,2067476,1389450,1486637,1950713,1925131,1048093,1113641,1301232,1305362,1013567,1694050,1048745,1980276,1779603,1604092,1205525,1273501,1096335,1915426,1006868,1178313,1277034,1556304,1260190,1188466,1281159,747161.7,1217358,1301521,1515190,1085047,1054322,1809456,1852326,1211908,1525415,1374902,1213121,1097480,1499318,1878799,1548848,1170489,1579813,1968075,1657137,951635.4,1278898,1,1936817,1110396,1158662,1410998,1559484,1205614,1500436,1195730,1486955,1221086,1107439,1231707,960840,898292.3,843569,1699234,1453405
3,1760265,1519601,2239833,1542768,1338839,1280512,1181147,1566358,1282530,1233234,1464087,2254166,1500026,2022779,1189102,1466878,1155244,1454430,1694610,2142362,1443412,1549019,2025814,1990184,1104568,1158271,1367223,1363074,1049728,1770844,1098237,2077645,1858324,1675838,1267532,1339759,1147573,1998344,1050379,1224498,1353755,1641190,1317376,1234624,1345411,783407,1300509,1356495,1588345,1124610,1125031,1907381,1930771,1266717,1606046,1456187,1256718,1153780,1586433,1954792,1624942,1237961,1698458,2063995,1729899,1008421,1331279,1,2006161,1172326,1207476,1486162,1620442,1253577,1577738,1257941,1550630,1278673,1155904,1286714,1011118,949059,887309.6,1775853,1530007
4,1816639,1590513,2291640,1601297,1373441,1320816,1226503,1616406,1334004,1292432,1509616,2319692,1557105,2079772,1229326,1499937,1206232,1516157,1741367,2217060,1500029,1591768,2103237,2029274,1148935,1203693,1419670,1405849,1090248,1853009,1134280,2136061,1906809,1730375,1313178,1391700,1190663,2077813,1104120,1270336,1399025,1693756,1356474,1278232,1395005,811445.2,1349127,1406944,1632945,1186262,1166779,1946082,2004876,1318023,1679257,1514000,1310169,1189535,1654073,2047582,1672451,1298163,1777576,2127950,1778262,1049409,1367771,1,2052737,1210454,1241304,1544186,1682277,1298386,1650836,1324267,1605931,1326141,1198279,1334458,1039066,989603.9,919271.8,1844790,1588764
5,1872135,1635626,2337633,1643005,1402891,1357829,1271473,1670584,1375120,1335365,1547362,2386572,1616318,2112482,1273429,1543214,1240385,1561699,1794093,2277945,1546376,1635839,2153124,2079679,1184677,1240422,1448162,1445111,1119459,1909526,1172736,2183278,1958184,1767079,1355399,1438417,1232297,2152864,1152470,1310020,1424143,1735777,1407238,1322377,1440120,834591,1387985,1447537,1687103,1213023,1207004,1997678,2057810,1378051,1733684,1562891,1353419,1235285,1688898,2106050,1717027,1335626,1828505,2187410,1830965,1070834,1397778,1,2117018,1251692,1271409,1579812,1731659,1330395,1694178,1364038,1655501,1371250,1251812,1373754,1071881,1024308,939236.9,1905517,1637134
6,1933803,1678928,2375993,1675082,1438948,1390079,1300770,1715366,1420781,1379739,1585541,2448962,1660046,2157745,1312331,1585471,1269928,1602438,1829549,2326773,1588592,1675739,2212516,2114699,1229210,1264461,1478127,1475138,1149769,1965198,1202786,2245006,1993679,1805820,1389137,1474130,1275176,2204987,1182185,1350400,1462755,1778546,1434643,1358647,1474572,856426.6,1421372,1480606,1722571,1246186,1246281,2050761,2098026,1406637,1783607,1620782,1376917,1279841,1731092,2152971,1754566,1364484,1869378,2232286,1867988,1095026,1431820,1,2166147,1286485,1299297,1611570,1770217,1356920,1739082,1401252,1695045,1399413,1273775,1407236,1097936,1059315,960024.8,1947260,1668082
7,1980822,1725447,2424650,1714774,1462503,1425986,1327841,1761608,1459578,1416923,1614600,2504898,1696953,2195059,1337871,1620513,1303412,1627913,1864424,2367583,1610504,1719503,2257061,2145474,1264304,1289439,1516283,1509865,1176996,2021966,1231060,2278204,2038070,1835150,1427339,1515493,1311567,2251996,1199995,1383580,1486327,1809876,1466267,1383274,1509550,876071.9,1458436,1508592,1759533,1276862,1283274,2109624,2145106,1436259,1824024,1660032,1406627,1305199,1763005,2196871,1810815,1401778,1914420,2279839,1908189,1121692,1456701,1,2200700,1327781,1326742,1644176,1805758,1388837,1764655,1438940,1728498,1427072,1304464,1441717,1121201,1086259,985876.4,2001082,1702443
8,2019701,1757944,2457974,1753361,1492247,1456143,1365201,1796625,1492381,1452120,1648266,2557206,1736259,2231145,1372223,1651547,1335836,1659635,1901334,2412035,1637417,1753139,2300823,2173600,1290537,1304540,1553271,1527545,1212319,2077954,1254608,2314237,2070449,1862438,1455838,1547511,1340400,2288116,1230099,1418526,1510874,1847481,1487648,1415949,1546446,892946.4,1485784,1535428,1792792,1296482,1305795,2154373,2175963,1461665,1858902,1691975,1430176,1335057,1804303,2228833,1851696,1433491,1949647,2310924,1936121,1142433,1474802,1,2228009,1356042,1349993,1675084,1849925,1411705,1795704,1468642,1771238,1449699,1337164,1469745,1142436,1109353,1010027,2031634,1729061
9,2059812,1789341,2506157,1778601,1515926,1485879,1396906,1821166,1526155,1484287,1673612,2594189,1773101,2266927,1395269,1681344,1358527,1685024,1926428,2442872,1662183,1784820,2336536,2202298,1305007,1332854,1579984,1550649,1234598,2129079,1271614,2339475,2102154,1887995,1480305,1577418,1365473,2322788,1246507,1443146,1532491,1885157,1519040,1449544,1568424,908873.6,1518805,1567553,1819479,1319085,1335532,2186427,2208673,1488295,1896863,1726678,1450995,1374753,1835891,2263880,1883172,1463779,1991794,2358171,1958635,1167644,1501554,1,2253818,1377677,1377404,1705513,1886021,1439190,1838400,1492921,1801309,1478702,1351172,1499114,1162112,1127295,1027283,2061453,1757193
10,2090352,1811103,2531544,1821676,1539861,1509091,1422447,1842724,1552479,1514394,1699164,2630469,1799256,2310600,1419326,1710134,1377510,1708899,1957515,2472472,1690116,1809275,2372833,2225844,1328671,1348956,1604593,1578109,1250717,2157790,1298450,2369239,2135151,1914698,1510616,1601833,1389723,2352084,1263412,1467951,1555889,1917784,1537585,1472450,1606280,923926.6,1540968,1596176,1856349,1338152,1370827,2222566,2237750,1506492,1928997,1750681,1477926,1397686,1859162,2283023,1911736,1490933,2022239,2392439,1981941,1188748,1518935,1,2283354,1394393,1398196,1730915,1921446,1461003,1867116,1516168,1834358,1504699,1369727,1529103,1179751,1146648,1042571,2098972,1778388
11,2127699,1837002,2568222,1851363,1567476,1530628,1439082,1872659,1577232,1543240,1720316,2657283,1826973,2336736,1440438,1734172,1409438,1735039,1984891,2513168,1711327,1838542,2394785,2255923,1359048,1362866,1629152,1594502,1271494,2200860,1317219,2401731,2160976,1943179,1534960,1633931,1410237,2385897,1292388,1496793,1579718,1952171,1557982,1500293,1637218,938146.8,1568997,1618759,1890184,1357410,1395095,2248125,2263856,1522006,1959435,1782021,1498541,1425902,1887108,2323027,1939281,1511887,2056458,2424455,2007903,1206900,1538937,1,2313377,1415036,1425280,1756602,1954191,1482138,1891109,1540112,1865662,1530575,1385929,1548267,1196225,1165734,1055503,2128313,1798296
12,2167101,1859700,2598564,1877505,1587829,1558098,1467948,1902432,1592831,1567184,1749321,2685360,1858338,2362263,1470309,1763301,1427981,1758161,2009323,2540751,1735334,1865535,2419010,2286607,1379004,1381875,1646573,1616781,1290742,2236823,1335890,2430697,2191961,1963516,1558923,1662751,1428184,2411073,1313177,1519581,1598259,1970779,1574169,1523994,1663441,951210.7,1585873,1642824,1915623,1370122,1411287,2278542,2300601,1537714,1996378,1805698,1516189,1454131,1913647,2346684,1967514,1529552,2099359,2449839,2028818,1232875,1556410,1,2342693,1443229,1445456,1777422,1988044,1497906,1924987,1560034,1891983,1549816,1405077,1568201,1211029,1181334,1069097,2156280,1812614
13,2199045,1881691,2632748,1891576,1604621,1572341,1486181,1924389,1618869,1590313,1771627,2712398,1880920,2391744,1492940,1788794,1441336,1779485,2029814,2580539,1752375,1891969,2448012,2312567,1399543,1401300,1665936,1639572,1314268,2274432,1352168,2469320,2218711,1998465,1582658,1679888,1445136,2439809,1331267,1542482,1618172,1995474,1598215,1541564,1680888,962683.1,1608779,1664662,1941946,1383882,1425682,2307604,2322008,1560602,2017018,1832150,1536506,1476793,1938978,2376588,1999103,1549342,2130848,2475941,2056863,1249048,1583533,1,2369847,1464923,1461167,1802175,2018728,1515265,1955739,1584968,1912612,1572300,1420321,1585743,1226190,1196544,1088412,2183711,1833825
14,2228824,1914093,2655450,1919064,1622827,1590497,1505390,1951022,1637012,1612223,1793675,2749654,1904519,2411056,1512949,1822586,1464083,1798318,2065370,2607262,1773117,1913403,2474765,2332470,1414447,1424374,1682420,1657297,1334457,2304141,1373440,2504977,2254431,2014602,1607420,1698597,1467059,2468996,1351871,1570106,1640626,2016963,1616609,1563075,1702356,974110.1,1633200,1683800,1967908,1395588,1448287,2338057,2345560,1577109,2044716,1857275,1556311,1504848,1959063,2407216,2021917,1571746,2152096,2514774,2080807,1270376,1598695,1,2391055,1488771,1484425,1816813,2045115,1532863,1991827,1606710,1934938,1588840,1436725,1612451,1240720,1214853,1096722,2200723,1854991
15,2250222,1932540,2692439,1939774,1641321,1611055,1521609,1971910,1668222,1627476,1820503,2775576,1927293,2441689,1533686,1841164,1479107,1814944,2089832,2631448,1791280,1935277,2496685,2352591,1429631,1441160,1700484,1671956,1358360,2336499,1394342,2539676,2278424,2035586,1627109,1716764,1483530,2509574,1368262,1586411,1657773,2042741,1632780,1586303,1726444,985557.9,1654418,1701903,1995686,1407872,1471329,2357858,2374619,1593035,2073985,1884914,1572880,1532334,1986817,2434342,2048243,1594212,2177159,2547682,2103750,1288776,1614414,1,2416375,1510437,1507380,1834206,2077154,1551540,2026388,1627077,1960739,1610430,1447140,1630895,1254735,1231888,1109315,2229543,1875901
16,2275172,1956545,2717873,1959039,1658875,1629162,1535280,1990889,1688642,1648304,1840354,2804945,1947722,2462416,1550314,1866657,1499182,1839778,2107497,2660341,1810356,1958508,2523609,2373075,1443735,1459335,1716886,1689021,1378918,2369448,1416277,2556306,2305825,2052313,1643648,1734806,1498510,2537985,1384928,1605781,1675161,2063440,1649547,1604836,1745503,996624.1,1681215,1723233,2018813,1428328,1485220,2384493,2397773,1616013,2100911,1906515,1594269,1557710,2006078,2454163,2069970,1612114,2206032,2578055,2122894,1307105,1630690,1,2434390,1530368,1527337,1856318,2097893,1569632,2047771,1641823,1979008,1625340,1462138,1654940,1269783,1246492,1122262,2247564,1896131
17,2303972,1976375,2754853,1979983,1679503,1649445,1549388,2011011,1711878,1671921,1861504,2850140,1967006,2480576,1571909,1889497,1526918,1863351,2133217,2686875,1828583,1979746,2554556,2391761,1457364,1470713,1734168,1708274,1395896,2394358,1432092,2574698,2330041,2074655,1668595,1751917,1514959,2564915,1405878,1627856,1688592,2087129,1666432,1624523,1758981,1007755,1705820,1745133,2034035,1440089,1506044,2404440,2421500,1639780,2125043,1929326,1616751,1575828,2030198,2478500,2091110,1636396,2229960,2597667,2144338,1321331,1650488,1,2454407,1543864,1538685,1879739,2125344,1585217,2069326,1659749,1999251,1639888,1475501,1669563,1281100,1262330,1131722,2274337,1920808
18,2330689,1995539,2783173,1997973,1695781,1667495,1569493,2034894,1732067,1690144,1882805,2881420,1989727,2501463,1590395,1909164,1547647,1877420,2151878,2709374,1848563,2006476,2578599,2410924,1473188,1484017,1746286,1726353,1420098,2420766,1443177,2603104,2350416,2091574,1689343,1769521,1533432,2588196,1424614,1650932,1708254,2108795,1679981,1643281,1778635,1018348,1725386,1760765,2053166,1459350,1519784,2427277,2448366,1666389,2150752,1944766,1626752,1591795,2052155,2502391,2116681,1651218,2251944,2619991,2164003,1335597,1663257,1,2477230,1562438,1558258,1898309,2146474,1598563,2092813,1674317,2020803,1654326,1492297,1697748,1293909,1279487,1142013,2299392,1940257
19,2349476,2020253,2810517,2020598,1709707,1684385,1590069,2049001,1748930,1706617,1900486,2912577,2012761,2528931,1606283,1927309,1562854,1894598,2173050,2732972,1863271,2022503,2600097,2433008,1490997,1497943,1760407,1741036,1432748,2448421,1459882,2634848,2364962,2110673,1707730,1786319,1552983,2616118,1437149,1670513,1721572,2127782,1701027,1663625,1794577,1028000,1744462,1777344,2070791,1474282,1542100,2452580,2469887,1684333,2170446,1961755,1643672,1608580,2069129,2529330,2141928,1663378,2280722,2643332,2185552,1351346,1677212,1,2494721,1579607,1573526,1913939,2169775,1620144,2115456,1692896,2037393,1674357,1504942,1712005,1307671,1290716,1153191,2318970,1955607
20,2373365,2039694,2831509,2040294,1727448,1700617,1606404,2064988,1772817,1721916,1920329,2937087,2038706,2552411,1626437,1952772,1580006,1909723,2187700,2755719,1882310,2038310,2618207,2450264,1506827,1514142,1774303,1755320,1450060,2478480,1474386,2659328,2390421,2129909,1723093,1802028,1570278,2645665,1451849,1690224,1740602,2150776,1720206,1679586,1806050,1038032,1764601,1792652,2094055,1489231,1556702,2477816,2496548,1706096,2192423,1981293,1658089,1627262,2087808,2551988,2165194,1683932,2304817,2668532,2199982,1366028,1694143,1,2517641,1592319,1586894,1928451,2184493,1634327,2139079,1708631,2060802,1690838,1517417,1735877,1320119,1303484,1162993,2341635,1970738
21,2400120,2066022,2853882,2055964,1742036,1716224,1625168,2082420,1791831,1739745,1938151,2974023,2061876,2567158,1641985,1975153,1594648,1924977,2207448,2777405,1900657,2058932,2635071,2467919,1520634,1527970,1789137,1771172,1463110,2495114,1490029,2684729,2411961,2147206,1744771,1817519,1585935,2673622,1473228,1707604,1754712,2172837,1738222,1698793,1827535,1048488,1778193,1814718,2110594,1505196,1575283,2498833,2519782,1726921,2223037,2000737,1669845,1646365,2106958,2576887,2191228,1704060,2323561,2691725,2218153,1379168,1709514,1,2533153,1611308,1604152,1947107,2203726,1646683,2155540,1726359,2081250,1706011,1531363,1755288,1334520,1313915,1175528,2366553,1988137
22,2421704,2083076,2873594,2077319,1761627,1730794,1639075,2095379,1806721,1760398,1953642,3005521,2090926,2582933,1660726,1989947,1609919,1943262,2224988,2807281,1913671,2080101,2656114,2488580,1536783,1538942,1803930,1786829,1476539,2516327,1505655,2714358,2429448,2165417,1763516,1831675,1602528,2697827,1487449,1723961,1767951,2195830,1758206,1713890,1840512,1058137,1798974,1829586,2125784,1516284,1593173,2516327,2536487,1740371,2242345,2018741,1685462,1664996,2120637,2595228,2219777,1717861,2344551,2717166,2233320,1392172,1722473,1,2553052,1628292,1615669,1968584,2223600,1658903,2179331,1741738,2100998,1722083,1549319,1770995,1346276,1328595,1189456,2395295,2003256
23,2440913,2098651,2892959,2096151,1774499,1744115,1657117,2118716,1824552,1783022,1971582,3028800,2118338,2603316,1680241,2008458,1623457,1957954,2242086,2830150,1929198,2095679,2680547,2509709,1549154,1549678,1821832,1799547,1488470,2541025,1521393,2735331,2445913,2180844,1778612,1855879,1616924,2722845,1501527,1742259,1777836,2218043,1774706,1729948,1858137,1067370,1814863,1844629,2147840,1532641,1609058,2536611,2555437,1759207,2264119,2041227,1707410,1678805,2135478,2612003,2234975,1732937,2371611,2735604,2245822,1410031,1738182,1,2573103,1643183,1628890,1985988,2245372,1668745,2202460,1754042,2120752,1734852,1561960,1786551,1358542,1339485,1202052,2413438,2028685
24,2462320,2115922,2920226,2112560,1787226,1758220,1676287,2131901,1842396,1801309,1989434,3063838,2133958,2624974,1694195,2033284,1639596,1974071,2262200,2853383,1945216,2110166,2701482,2525274,1563923,1560304,1837280,1818961,1503622,2561491,1532146,2756350,2468072,2200046,1801624,1871520,1631132,2741083,1514506,1756668,1789150,2237217,1786911,1745140,1874680,1075513,1833245,1861181,2167886,1549434,1625675,2559319,2577143,1773793,2292285,2063841,1724683,1695637,2150726,2631974,2257663,1748941,2389686,2752173,2263596,1421178,1748833,1,2590332,1664497,1641951,2006409,2269672,1679594,2222810,1768465,2135379,1747356,1574817,1803346,1369798,1355632,1212640,2429292,2052929
25,2479781,2133077,2946511,2135280,1799249,1771213,1697268,2145076,1863687,1817366,2006485,3085158,2151894,2642529,1705984,2053706,1656771,1988419,2279344,2874575,1961581,2129547,2722473,2546541,1580449,1571678,1852919,1835843,1519665,2579797,1545386,2775204,2489691,2213816,1824350,1891264,1651176,2757511,1528306,1773452,1803886,2257457,1801960,1761110,1887874,1084370,1850293,1879985,2186996,1564831,1638215,2581171,2597025,1790993,2308298,2080778,1739278,1720283,2167838,2650754,2274511,1765470,2418497,2773785,2282769,1437519,1766038,1,2605257,1683006,1661962,2022696,2285743,1693146,2248474,1781891,2150717,1765303,1590818,1822355,1380582,1371781,1224471,2447448,2071683
26,2502432,2152671,2963410,2153531,1811762,1785665,1710658,2159440,1878119,1836501,2029086,3105201,2169250,2658892,1717107,2073217,1674040,2009674,2292016,2902162,1976365,2142851,2746364,2564814,1595649,1583512,1870168,1851437,1534123,2610765,1558696,2797553,2506522,2230860,1842453,1907879,1667813,2777466,1543486,1791685,1819036,2273060,1816892,1782267,1905574,1094117,1867348,1894874,2206836,1576201,1654873,2610390,2619358,1811550,2330984,2097093,1750857,1739105,2188699,2672584,2299522,1781726,2439966,2789627,2301004,1450686,1777397,1,2622018,1698531,1675232,2036801,2309042,1706328,2264979,1797458,2167839,1780310,1602333,1837217,1391310,1385726,1234803,2466409,2084579
27,2522873,2168796,2983447,2169457,1827264,1804292,1727060,2178012,1898388,1851966,2046554,3129696,2184702,2673271,1730242,2095260,1687237,2025683,2309460,2923860,1987651,2153504,2768178,2585139,1611263,1597237,1883277,1869111,1545441,2636965,1570959,2818449,2525112,2248796,1859144,1919775,1685260,2800705,1561082,1806595,1829795,2295711,1831692,1796853,1918164,1103447,1886353,1908273,2225402,1588597,1669402,2630561,2638138,1828436,2350497,2122465,1769081,1758604,2201930,2692683,2323831,1799078,2461870,2815777,2317710,1467970,1787946,1,2641265,1713332,1688376,2055332,2327550,1718294,2278645,1812045,2184088,1800170,1613669,1852296,1403677,1403203,1243176,2486004,2104410
28,2540694,2187467,3002172,2184985,1848463,1817956,1741701,2195597,1917914,1872717,2065210,3156791,2202028,2689053,1747773,2114295,1704274,2037975,2331047,2939875,2004150,2167485,2787521,2606636,1627102,1610029,1897879,1887647,1558668,2660736,1590997,2841530,2542675,2262935,1874983,1937708,1699632,2834058,1573753,1822626,1843332,2311055,1846792,1814314,1934981,1113041,1903243,1924997,2241884,1598663,1682467,2656449,2656765,1845506,2368841,2138216,1784196,1773798,2222621,2714592,2338748,1821143,2477803,2836838,2332554,1480737,1804036,1,2662792,1728226,1700997,2067635,2342364,1730439,2294964,1829202,2197617,1813203,1623816,1869886,1414600,1415639,1252666,2501958,2121574
29,2568515,2214792,3020189,2202756,1865445,1827161,1755040,2212524,1931465,1887453,2077999,3181595,2223571,2707528,1760698,2132141,1719573,2056768,2343189,2963202,2014462,2185980,2803819,2618499,1640838,1621767,1914655,1902272,1572805,2683961,1604532,2858679,2560164,2272879,1889047,1952733,1714433,2854444,1585647,1838371,1855074,2333019,1861694,1831613,1949554,1122535,1920437,1939825,2258595,1609154,1698498,2681118,2674856,1860906,2388603,2155163,1799588,1794297,2241190,2729577,2359790,1836477,2495331,2858943,2348506,1492623,1816630,1,2685994,1741028,1718023,2086106,2357354,1743249,2311443,1844791,2213529,1828020,1638653,1882194,1425148,1427426,1264149,2522254,2136758
30,2587777,2230384,3037166,2217526,1878612,1846876,1765291,2226423,1943986,1908249,2093133,3211729,2246778,2729647,1771277,2143352,1735131,2071912,2355492,2985452,2034683,2207119,2829514,2634820,1656011,1631049,1926407,1914526,1586601,2707213,1616787,2877661,2580981,2289313,1910144,1966089,1730937,2875405,1601302,1851682,1867728,2349890,1871904,1846429,1964498,1132138,1939283,1955368,2274761,1618856,1711355,2706395,2694932,1872779,2404160,2179997,1813710,1807987,2258945,2747316,2376575,1850264,2524498,2877915,2365889,1504359,1826288,1,2707876,1752889,1730270,2106941,2381101,1755162,2329186,1859722,2227161,1844585,1651000,1894283,1435215,1441363,1274118,2543823,2154131
31,2608934,2252958,3051166,2235277,1895059,1861412,1782963,2243571,1958560,1923645,2110227,3242760,2266962,2751510,1784892,2168075,1746703,2084130,2373896,3007269,2050745,2224320,2847197,2648468,1669284,1641872,1939127,1928261,1600528,2726196,1627577,2896166,2600495,2305054,1930702,1984853,1745062,2895008,1611103,1869549,1880212,2369538,1885865,1861874,1980554,1141457,1953693,1969940,2288912,1629861,1727604,2726408,2712483,1892291,2423475,2196403,1827738,1822092,2276120,2766744,2388012,1863257,2544012,2898114,2383054,1516245,1838812,1,2721048,1765858,1739256,2125525,2400534,1764490,2349116,1872653,2243472,1858052,1663914,1911259,1446312,1452197,1284275,2566268,2172015
32,2624324,2265549,3069687,2247591,1911012,1870235,1800801,2259711,1980578,1944728,2129264,3260118,2290976,2772502,1806952,2186946,1761785,2099206,2387747,3027907,2067388,2245649,2871250,2659403,1684975,1652952,1952154,1942812,1616298,2756352,1637859,2919181,2617772,2318369,1947221,2000163,1760180,2922104,1620788,1888003,1892127,2388749,1895699,1876688,1998249,1151244,1965818,1986309,2303338,1639960,1749145,2744525,2727588,1908002,2446751,2215984,1839039,1837255,2288600,2789100,2404622,1875682,2567023,2921405,2395568,1530731,1848831,1,2740152,1781821,1757153,2142894,2420034,1779242,2367362,1889628,2261894,1873407,1674920,1927250,1456536,1463216,1292378,2582818,2185750
33,2643314,2283280,3084316,2268606,1924589,1880449,1811865,2280694,1993149,1960960,2145846,3278239,2308662,2785147,1818769,2204605,1773117,2114108,2401652,3043910,2082243,2266994,2888835,2679113,1701418,1665090,1966242,1954022,1630376,2782513,1648417,2943598,2637016,2333732,1970209,2014736,1777691,2946990,1632948,1904428,1904456,2405105,1909151,1891581,2011713,1159418,1983428,2002794,2318054,1650187,1763793,2760698,2748362,1927076,2462693,2233382,1856536,1853248,2304534,2806037,2416713,1892866,2589940,2942177,2412936,1545044,1861615,1,2758669,1799118,1769036,2159984,2442762,1789574,2392215,1902285,2280170,1889556,1688943,1939698,1467003,1473416,1301973,2603370,2202745
34,2665787,2301035,3101479,2286089,1936240,1894591,1825240,2296496,2005820,1978569,2163848,3300866,2323442,2797041,1834424,2224113,1786315,2130479,2415899,3061035,2099131,2286183,2907255,2693446,1714725,1676458,1979472,1963811,1644218,2801540,1655720,2960972,2655224,2345991,1987263,2028109,1795230,2969268,1649956,1916115,1915211,2425905,1924792,1910373,2028599,1168459,1996968,2016694,2337399,1663317,1776872,2781618,2763562,1943024,2491997,2254493,1870667,1866062,2323018,2824855,2430871,1910550,2612801,2959203,2429841,1560140,1874392,1,2775377,1814138,1784018,2176542,2457808,1802789,2409867,1919439,2293263,1905459,1700649,1958470,1477196,1490321,1310832,2623148,2215421
35,2683951,2318755,3121333,2298290,1954022,1904826,1843385,2312967,2021707,2000844,2183560,3320538,2336328,2816595,1847695,2238948,1802699,2140893,2437425,3082851,2112850,2300977,2922392,2708377,1729661,1684746,1997180,1975786,1653901,2832799,1669906,2977916,2667862,2359990,2003452,2039869,1810319,2994786,1666083,1929663,1927922,2444113,1936320,1924317,2045225,1177455,2012941,2034511,2351788,1674571,1789201,2798869,2782558,1956519,2509529,2267747,1883839,1884589,2342086,2837093,2448014,1925295,2628838,2973332,2452978,1576779,1886265,1,2792375,1828890,1796917,2190936,2478206,1815452,2431392,1932647,2310214,1919698,1714390,1971325,1488391,1504989,1320943,2643798,2231186
36,2708634,2332619,3142549,2314938,1968966,1921529,1857043,2327936,2043319,2016711,2200284,3348332,2351194,2838352,1859750,2260969,1820912,2157337,2452576,3105688,2129191,2316265,2938105,2722264,1741878,1695258,2009641,1986123,1668679,2852179,1683698,2994453,2687992,2377293,2020236,2055196,1827922,3015065,1680661,1945806,1941010,2463255,1950710,1939371,2061850,1186581,2034868,2050789,2371355,1683749,1803045,2814574,2797969,1978732,2530649,2283884,1895402,1902051,2360901,2854127,2463430,1944712,2646147,2993546,2469057,1592106,1900781,1,2809747,1839844,1808787,2203244,2494532,1828157,2446788,1946347,2324072,1932189,1726167,1990638,1499898,1516683,1329560,2656174,2248910
37,2732002,2348255,3164529,2328805,1980149,1937922,1869436,2343414,2060823,2034602,2219069,3369555,2369994,2855994,1874807,2276786,1835069,2169590,2467113,3127684,2144355,2330640,2965123,2736496,1755742,1706931,2019585,2002799,1682193,2876277,1695972,3009989,2706993,2387869,2037787,2068941,1842252,3033879,1693558,1960574,1952705,2490894,1967927,1957254,2081006,1195110,2050366,2065064,2390505,1693133,1815129,2830546,2814802,1993274,2548814,2303356,1908699,1924042,2379107,2876260,2484069,1964129,2668731,3011639,2482998,1606111,1913023,1,2827851,1860647,1818389,2220179,2519253,1841855,2463654,1965358,2341153,1940964,1739026,2004133,1510300,1528432,1341656,2675544,2270665
38,2754009,2361560,3188250,2345265,1994282,1952031,1887647,2365056,2076323,2056063,2229460,3394119,2391902,2874122,1887656,2297018,1848742,2184043,2481029,3150421,2158441,2354462,2981960,2756331,1770726,1721325,2033205,2016643,1698016,2904701,1706547,3028772,2729461,2402039,2053107,2086187,1860185,3055191,1710362,1971432,1962873,2504630,1981493,1971505,2096240,1203501,2065823,2076803,2412390,1702853,1831393,2851620,2832273,2009978,2565249,2320141,1928367,1937839,2403027,2895589,2505017,1983712,2685773,3036608,2496917,1621186,1927763,1,2843657,1873214,1832113,2236218,2540388,1853328,2482527,1981220,2357534,1953803,1750499,2017328,1521510,1541872,1351236,2701560,2284821
39,2777380,2381429,3204816,2364656,2011988,1963191,1904314,2382513,2094009,2075987,2245071,3419121,2410809,2890784,1904308,2313952,1863085,2199663,2493988,3179104,2174026,2371260,3005508,2769882,1783745,1731146,2044302,2032442,1711993,2922586,1717841,3045771,2746436,2416797,2071739,2101135,1874793,3087953,1725270,1992554,1974379,2520343,1995192,1982977,2116290,1211962,2082324,2091693,2430254,1715284,1841963,2865457,2850993,2023976,2585069,2335526,1943093,1954626,2418126,2910634,2524981,2002327,2708337,3052641,2513700,1635609,1939903,1,2856969,1886655,1842284,2253691,2558468,1864577,2499811,1991347,2373866,1965138,1766347,2031992,1531587,1557714,1361175,2718628,2303072
